Date,RF_HXZ,Mkt-RF_HXZ,ME,IA,ROE,EG
1968-03-15,0.0189,0.7664,-0.4822,-0.3167,0.54,-0.295
1968-03-18,0.0189,0.6458,0.3048,-0.3757,0.5304,0.1857
1968-03-19,0.0189,-0.6393,0.2481,0.0903,-0.1127,-0.2136
1968-03-20,0.0189,-0.0763,-0.284,-0.1566,0.0637,0.3585
1968-03-21,0.0189,-0.8146,-0.2631,-0.0418,-0.4558,-0.0679
1968-03-22,0.0189,0.0062,-0.3323,0.2989,0.1713,0.2572
1968-03-25,0.0189,-0.1259,-0.2079,-0.1326,0.0764,0.1595
1968-03-26,0.0189,0.6625,0.0298,-0.3512,0.2457,-0.1097
1968-03-27,0.0189,0.8529,0.2347,-0.331,0.5952,-0.1864
1968-03-28,0.0189,-0.0807,0.1019,0.2037,-0.0794,0.2582
1968-03-29,0.0189,0.7026,0.0397,-0.0888,-0.0504,0.2799
1968-04-01,0.0213,2.3799,-0.5096,-0.3532,0.5722,-0.2425
1968-04-02,0.0213,0.2034,-0.0345,-0.0012,0.1681,-0.0822
1968-04-03,0.0213,0.8726,-0.1943,-0.11,-0.0012,0.0139
1968-04-04,0.0213,0.4609,-0.1138,-0.0878,0.3622,0.0007
1968-04-05,0.0213,-0.5372,0.4686,-0.23,-0.0937,-0.2262
1968-04-08,0.0213,1.7345,-0.0426,-0.4468,-0.12,-0.4332
1968-04-10,0.0213,0.7293,0.4219,-0.2215,0.0073,0.2464
1968-04-11,0.0213,0.9476,0.4183,-0.2967,-0.258,-0.1015
1968-04-15,0.0213,0.2008,0.5467,0.2434,0.4789,-0.3206
1968-04-16,0.0213,0.1483,0.5577,-0.1771,-0.0767,-0.675
1968-04-17,0.0213,0.3035,0.6227,-0.2216,-0.4898,-0.1829
1968-04-18,0.0213,0.3049,0.5236,-0.0617,0.0807,0.0153
1968-04-19,0.0213,-1.2309,0.1517,-0.0885,0.5206,0.3534
1968-04-22,0.0213,-0.4777,0.3085,-0.089,0.2274,-0.0558
1968-04-23,0.0213,1.2791,0.118,0.0221,0.8037,-0.0351
1968-04-24,0.0213,0.2749,0.5611,-0.0563,0.4265,-0.2567
1968-04-25,0.0213,0.3401,0.2952,0.2743,0.4527,0.4273
1968-04-26,0.0213,0.3334,0.383,0.2171,0.3314,-0.024
1968-04-29,0.0213,0.3017,0.2145,-0.2855,0.0548,0.0199
1968-04-30,0.0213,0.143,0.1756,-0.4625,-0.2393,-0.1363
1968-05-01,0.0212,0.3226,0.0757,-0.1994,-0.0575,-0.0779
1968-05-02,0.0212,0.6188,-0.1029,-0.1304,0.1997,-0.0074
1968-05-03,0.0212,0.075,-0.1436,0.3397,0.3368,-0.0362
1968-05-06,0.0212,-0.1792,0.3989,0.0446,-0.0602,0.0178
1968-05-07,0.0212,0.5698,0.2808,0.096,-0.0664,-0.0771
1968-05-08,0.0212,0.06,0.2293,-0.3272,0.0835,0.0432
1968-05-09,0.0212,-0.5189,0.0568,0.1834,0.2249,-0.0935
1968-05-10,0.0212,0.336,0.8862,-0.3736,-0.1595,-0.1592
1968-05-13,0.0212,-0.1684,0.6626,0.0805,0.2462,0.257
1968-05-14,0.0212,-0.0689,0.0477,-0.027,-0.2241,0.2386
1968-05-15,0.0212,-0.0594,0.2685,-0.0078,0.3412,0.0641
1968-05-16,0.0212,-0.4433,0.3,-0.0062,0.0364,0.5256
1968-05-17,0.0212,-0.5911,0.4739,0.2064,-0.1847,-0.1729
1968-05-20,0.0212,-0.4682,0.1753,0.2078,0.1019,-0.0629
1968-05-21,0.0212,0.5813,0.3491,-0.4193,0.3712,-0.0977
1968-05-22,0.0212,0.3182,0.8088,-0.6336,-0.1304,-0.1881
1968-05-23,0.0212,-0.126,0.3476,-0.5914,-0.0179,-0.2123
