,credit_factor,Date
2954,0.008767220922404458,2002-06-27
2955,-0.014032847498533611,2002-06-28
2956,0.0053586799748112715,2002-07-01
2957,0.00344941655303789,2002-07-02
2958,0.007589178053521764,2002-07-03
2959,-0.0005845405215152075,2002-07-05
2960,4.959491181979678e-05,2002-07-08
2961,-0.0032181604089811036,2002-07-09
2962,0.009451811136256382,2002-07-10
2963,-0.009922299838857295,2002-07-11
2964,0.00982290555441891,2002-07-12
2965,-0.008549045298203488,2002-07-15
2966,0.0003598208461233522,2002-07-16
2967,-0.0027280128747908484,2002-07-17
2968,-0.0005574035566574612,2002-07-18
2969,0.012533045043789454,2002-07-19
2970,0.006851083686110759,2002-07-22
2971,0.04511360732138563,2002-07-23
2972,0.009396216037055483,2002-07-24
2973,0.003334039801026376,2002-07-25
2974,0.0076569143091304165,2002-07-26
2975,-0.004665780242560813,2002-07-29
2976,-0.02562745487765144,2002-07-30
2977,-0.006734833432186846,2002-07-31
2978,-0.014915170582928681,2002-08-01
2979,-0.005459241560755064,2002-08-02
2980,3.2978793123916716e-05,2002-08-05
2981,-0.008835999950842555,2002-08-06
2982,0.010785820473075806,2002-08-07
2983,-0.0015852274253976492,2002-08-08
2984,-0.002666048313506077,2002-08-09
2985,-0.0056425740101130745,2002-08-12
2986,0.0036867773313514866,2002-08-13
2987,0.0067808960655850355,2002-08-14
2988,0.012337607908789421,2002-08-15
2989,-0.0007639174702247327,2002-08-16
2990,0.009841267990822678,2002-08-19
2991,-0.004296147016420805,2002-08-20
2992,-0.0082348706528753,2002-08-21
2993,-0.01667416669705602,2002-08-22
2994,-0.004228190525504435,2002-08-23
2995,-0.005764073058641685,2002-08-26
2996,-0.013044249371044658,2002-08-27
2997,0.008742197180674795,2002-08-28
2998,0.013111326691570334,2002-08-29
2999,-0.01069219788559217,2002-08-30
3000,0.00817807166272786,2002-09-03
3001,0.011081490383042281,2002-09-04
3002,-0.0054189611536945535,2002-09-05
3003,0.015732393854138695,2002-09-06
3004,0.007220898544390096,2002-09-09
3005,0.00891833861562221,2002-09-10
3006,-0.005718555623582297,2002-09-11
3007,0.0001302398384216627,2002-09-12
3008,0.008289673099677718,2002-09-13
3009,0.004431115411168256,2002-09-16
3010,0.004174340114127772,2002-09-17
3011,-0.0030930734097257395,2002-09-18
3012,0.007039291848671483,2002-09-19
3013,0.0015227717151870305,2002-09-20
3014,0.004969426085170682,2002-09-23
3015,0.024099776058133755,2002-09-24
3016,-1.157865822833809e-05,2002-09-25
3017,-0.011699467007549301,2002-09-26
3018,0.00039590723343949086,2002-09-27
3019,-0.008222705348294498,2002-09-30
3020,0.00019639068958353378,2002-10-01
3021,0.011483839693796832,2002-10-02
3022,0.004884454671285219,2002-10-03
3023,0.012062571995218267,2002-10-04
3024,0.006067227767576976,2002-10-07
3025,0.019590444596241766,2002-10-08
3026,0.0388911252979794,2002-10-09
3027,-0.014918533074549795,2002-10-10
3028,0.00022725342956623346,2002-10-11
3029,0.00687807045254816,2002-10-14
3030,-0.004268234395576852,2002-10-15
3031,0.0128359152104453,2002-10-16
3032,0.00025123917048940417,2002-10-17
3033,0.005958483899093186,2002-10-18
3034,-0.01686429836702698,2002-10-21
3035,-0.0018619241642779689,2002-10-22
3036,-0.008060420772750482,2002-10-23
3037,-0.007650676352370788,2002-10-24
3038,0.0074559136357535555,2002-10-25
3039,-0.01489044018426475,2002-10-28
3040,0.003321416592031207,2002-10-29
3041,-0.009357273932628281,2002-10-30
3042,-0.004834470517704002,2002-10-31
3043,-0.0027587642126686227,2002-11-01
3044,-0.012904538125178378,2002-11-04
3045,-0.008833622423572458,2002-11-05
3046,-0.014868470558782354,2002-11-06
3047,0.0124383911998624,2002-11-07
3048,0.020143309314131143,2002-11-08
3049,-0.001551311460986391,2002-11-11
3050,0.014404723866800875,2002-11-12
3051,0.007704441430375209,2002-11-13
3052,-0.010118493771808748,2002-11-14
3053,0.0007338741472856462,2002-11-15
3054,-0.012265017145146974,2002-11-18
3055,-0.007927910627048628,2002-11-19
3056,-0.0021501203550296534,2002-11-20
3057,-0.016555948101802716,2002-11-21
3058,-0.015158881175999308,2002-11-22
3059,-0.013508168234272885,2002-11-25
3060,-0.000989543188816163,2002-11-26
3061,-0.00042018415937536066,2002-11-27
3062,-0.0067447960818886035,2002-11-29
3063,0.007606543372431525,2002-12-02
3064,-0.00313115532419362,2002-12-03
3065,0.012580594377991132,2002-12-04
3066,-0.007005142225220875,2002-12-05
3067,0.003841235064115034,2002-12-06
3068,-0.001090777956038902,2002-12-09
3069,-0.004714152797571414,2002-12-10
3070,-0.006653284250031529,2002-12-11
3071,-0.0035331973182844657,2002-12-12
3072,-0.00549883079999881,2002-12-13
3073,0.004514813374662868,2002-12-16
3074,-0.0003897493732558672,2002-12-17
3075,0.0014441240741649916,2002-12-18
3076,0.0024725903298851186,2002-12-19
3077,0.0036233497749195848,2002-12-20
3078,0.0019671445520620242,2002-12-23
3079,0.00013994791135803816,2002-12-24
3080,-0.00133909981717239,2002-12-26
3081,0.0061335627231713825,2002-12-27
3082,-0.002223938248126679,2002-12-30
3083,-0.004858799513578079,2002-12-31
3084,-0.01098703546391952,2003-01-02
3085,-0.0008637834346470596,2003-01-03
3086,-0.011018560416509025,2003-01-06
3087,0.007116661016613586,2003-01-07
3088,0.0017693741414462043,2003-01-08
3089,0.008807763065717254,2003-01-09
3090,-0.00616164143542155,2003-01-10
3091,0.00038047075865740463,2003-01-13
3092,-0.0034222486156997543,2003-01-14
3093,-0.005994986104676126,2003-01-15
3094,0.0017820346298707814,2003-01-16
3095,0.0013455807820195766,2003-01-17
3096,0.0053930806871432,2003-01-21
3097,0.010502727306890051,2003-01-22
3098,0.007660261613150676,2003-01-23
3099,0.0058474734551518665,2003-01-24
3100,0.00925249261853149,2003-01-27
3101,-0.008327754146500593,2003-01-28
3102,0.0092509106335253,2003-01-29
3103,0.0003200070997755773,2003-01-30
3104,0.0011636760800214363,2003-01-31
3105,0.0012020556773256375,2003-02-03
3106,0.005965880131559523,2003-02-04
3107,0.004699351109073661,2003-02-05
3108,-0.001064778224507343,2003-02-06
3109,0.0007680997584906535,2003-02-07
3110,-0.002159532363742395,2003-02-10
3111,0.005769481474199095,2003-02-11
3112,0.013460819020144954,2003-02-12
3113,-0.0039987957850978854,2003-02-13
3114,0.005158793581913705,2003-02-14
3115,-0.0014748995614156657,2003-02-18
3116,-0.0035574015069020637,2003-02-19
3117,0.010591637569580831,2003-02-20
3118,-0.00010431788348125998,2003-02-21
3119,-0.002537481287644038,2003-02-24
3120,-0.0017749882825551632,2003-02-25
3121,0.0007822949968291065,2003-02-26
3122,0.0009460770628163355,2003-02-27
3123,-0.0014178930870040627,2003-02-28
3124,-0.00862945330360177,2003-03-03
3125,0.0018762106876477162,2003-03-04
3126,-0.004290068492918606,2003-03-05
3127,0.008317384377430896,2003-03-06
3128,-0.002281188409284344,2003-03-07
3129,0.0003891239942498438,2003-03-10
3130,0.007970981334330265,2003-03-11
3131,0.0022783414636613304,2003-03-12
3132,0.004839256737626113,2003-03-13
3133,0.0010234982062344296,2003-03-14
3134,-0.002571760414356229,2003-03-17
3135,0.00039264176074740864,2003-03-18
3136,-0.0058779065566143445,2003-03-19
3137,-0.002630711217822195,2003-03-20
3138,-0.012643891345710026,2003-03-21
3139,0.009937998140893453,2003-03-24
3140,0.0009842219006754305,2003-03-25
3141,0.006115879875696249,2003-03-26
3142,-0.00478312149996759,2003-03-27
3143,-0.006582643002291607,2003-03-28
3144,0.002254897912756626,2003-03-31
3145,-0.00632659502849712,2003-04-01
3146,0.013552435758508435,2003-04-02
3147,0.0007025339675392956,2003-04-03
3148,-0.00901819043505747,2003-04-04
3149,0.002044904220434976,2003-04-07
3150,-0.004331142418704667,2003-04-08
3151,-0.00027694237832921395,2003-04-09
