Date,RF_HXZ,Mkt-RF_HXZ,ME_HXZ,IA_HXZ,ROE_HXZ,EG_HXZ
1972-10-27,0.0883,1.2675,-0.1086,0.2227,0.5364,0.0322
1972-11-03,0.0913,3.275,-1.3461,-0.0307,-0.1367,0.0149
1972-11-10,0.0747,-0.2944,-0.1942,1.2102,-1.6872,-0.0856
1972-11-17,0.0933,1.404,-0.6551,-0.0166,-0.032,0.5837
1972-11-24,0.0747,1.3488,-0.4378,0.7736,-1.3529,0.6676
1972-12-01,0.0967,0.3636,1.6182,0.3942,-0.3819,-0.4685
1972-12-08,0.11,1.0127,0.3844,-0.6172,0.9149,-0.062
1972-12-15,0.11,-0.7206,-1.4,-0.5466,0.9149,1.0145
1972-12-22,0.11,-2.014,0.0823,0.4565,0.5731,0.5316
1972-12-29,0.066,1.6904,-1.2406,-0.5488,0.4983,0.2156
1973-01-05,0.0839,1.2949,1.2927,-0.1803,-1.1009,0.8291
1973-01-12,0.1048,-0.6909,-1.0899,0.721,-0.155,0.0091
1973-01-19,0.1048,-0.9015,-1.0027,-0.4965,-0.0614,1.0326
1973-01-26,0.0839,-2.4232,-0.9263,-0.4837,0.3166,0.5224
1973-02-02,0.1078,-2.1219,-0.865,0.6488,0.6794,1.3557
1973-02-09,0.1124,0.1214,-1.0329,-0.5409,0.2172,-0.3724
1973-02-16,0.1124,-0.1837,-1.3766,0.4977,-0.1734,0.1512
1973-02-23,0.0899,-1.8677,-0.9744,0.3839,-0.7293,0.6167
1973-03-02,0.1105,-1.2591,-1.8614,0.1351,-0.803,1.294
1973-03-09,0.1078,1.4232,0.1173,-0.2813,-0.0601,-0.1863
1973-03-16,0.1078,-0.5857,-0.4266,-0.0928,0.2438,1.0231
1973-03-23,0.1078,-4.4651,-0.3798,0.4614,-0.9388,1.5056
1973-03-30,0.1078,2.2596,-0.1472,0.1107,-0.8228,0.2705
1973-04-06,0.1248,-2.5745,-0.2246,0.8902,0.3478,0.5589
1973-04-13,0.1248,2.2642,-1.2323,0.7548,0.0822,1.424
1973-04-19,0.0998,-0.2798,-0.9677,1.061,-0.1346,1.213
1973-04-27,0.1248,-4.795,-0.4224,0.5743,-0.9569,1.3017
1973-05-04,0.1175,3.2196,-1.6397,-0.7526,-0.0249,0.1513
1973-05-11,0.1156,-2.2157,0.5778,0.4932,1.1293,-0.3989
1973-05-18,0.1156,-4.6129,-2.3119,0.4319,0.6978,1.5226
1973-05-25,0.1156,3.3971,-3.3561,-1.1857,-0.4111,-0.6312
1973-06-01,0.0949,-3.6698,0.1939,0.835,0.0994,0.7109
1973-06-08,0.1278,2.3209,-1.5833,-0.9834,-0.669,0.6766
1973-06-15,0.1278,-1.7073,1.3801,0.6327,0.1555,-0.2099
1973-06-22,0.1278,-1.5801,-0.2257,0.0183,1.0692,1.924
1973-06-29,0.1278,0.3733,-0.8288,0.6293,-0.2769,0.5371
1973-07-06,0.1242,-2.7064,1.5663,0.8704,-0.4514,-0.2529
1973-07-13,0.1553,3.2224,2.8909,-3.7179,-0.4749,-2.3995
1973-07-20,0.1553,3.6537,3.0087,-1.583,1.2976,-1.4959
1973-07-27,0.1553,2.0685,0.0389,-1.0591,0.8805,0.1305
1973-08-03,0.1513,-2.6805,-0.3142,0.0636,0.1162,0.3852
1973-08-10,0.1486,-1.6848,-0.8954,0.023,0.2342,0.5383
1973-08-17,0.1486,-2.2625,-0.0447,1.1974,-0.1892,0.5248
1973-08-24,0.1486,-0.8763,-0.9821,0.9437,0.9936,0.4178
1973-08-31,0.1486,2.5778,0.0951,-0.617,0.1154,-0.49
1973-09-07,0.1417,0.8688,0.7314,0.9811,-0.7708,-0.3744
1973-09-14,0.1772,-0.5302,0.1352,-0.2734,0.186,0.7418
1973-09-21,0.1772,3.1077,2.5424,0.2487,-0.2975,-1.9082
