Year_Month,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
1986-08,    6.07,   -4.35,    3.51,   -1.66,    3.21,    0.46,  -5.28
1986-09,   -8.60,    2.05,    3.22,   -0.08,    3.71,    0.45,  -5.79
1986-10,    4.66,   -2.33,   -1.42,   -0.05,    1.00,    0.46,   4.46
1986-11,    1.17,   -1.88,   -0.07,    1.09,    0.67,    0.39,  -0.26
1986-12,   -3.27,    0.12,    0.36,    0.79,    0.09,    0.49,   0.35
1987-01,   12.47,   -1.54,   -3.16,    0.17,   -1.00,    0.42,   2.20
1987-02,    4.39,    3.40,   -5.91,   -0.76,   -2.66,    0.43,  -2.07
1987-03,    1.64,    0.28,    1.61,    1.36,    4.14,    0.47,   1.68
1987-04,   -2.11,   -1.54,   -0.39,   -0.49,    1.05,    0.44,   0.22
1987-05,    0.11,   -0.56,    0.23,    0.51,    1.14,    0.38,  -0.74
1987-06,    3.94,   -2.21,    1.04,    1.70,    0.84,    0.48,  -0.25
1987-07,    3.85,   -1.14,    0.68,   -0.61,    1.61,    0.46,   2.72
1987-08,    3.52,   -0.94,   -0.93,    2.04,   -1.61,    0.47,  -0.86
1987-09,   -2.59,    0.38,    0.27,   -0.97,    1.87,    0.45,   0.77
1987-10,  -23.24,   -8.07,    4.24,    2.04,    2.34,    0.60,  -7.86
1987-11,   -7.77,    2.85,    2.95,   -1.88,    0.68,    0.35,  -1.17
1987-12,    6.81,    0.06,   -4.43,    2.96,   -2.42,    0.39,   5.87
1988-01,    4.21,   -0.51,    5.01,   -1.14,    2.13,    0.29,  -7.24
1988-02,    4.75,    3.32,   -1.71,    1.56,   -0.01,    0.46,  -1.47
1988-03,   -2.27,    6.25,    0.73,   -0.25,    1.80,    0.44,   0.58
1988-04,    0.56,    1.16,    1.67,   -0.20,    1.92,    0.46,   2.24
1988-05,   -0.29,   -2.56,    2.42,   -0.74,    0.33,    0.51,   0.63
1988-06,    4.79,    2.16,   -1.24,    1.47,   -3.37,    0.49,  -2.93
1988-07,   -1.25,   -0.21,    2.22,   -0.58,    1.52,    0.51,   0.66
1988-08,   -3.31,   -0.03,    2.15,   -0.82,    1.76,    0.59,   0.35
1988-09,    3.30,   -1.36,   -0.75,    1.76,   -0.61,    0.62,   0.27
1988-10,    1.15,   -2.95,    2.05,    1.30,    1.03,    0.61,   1.33
1988-11,   -2.29,   -1.65,    1.41,   -0.28,    1.62,    0.57,   0.33
1988-12,    1.49,    2.01,   -1.69,    0.69,   -0.38,    0.63,   0.49
1989-01,    6.10,   -2.31,    0.60,   -0.95,    0.14,    0.55,  -0.16
1989-02,   -2.25,    2.71,    1.01,   -0.87,    1.81,    0.61,   0.99
1989-03,    1.57,    0.68,    0.58,    0.05,    0.72,    0.67,   3.51
1989-04,    4.33,   -0.78,   -1.42,    0.71,   -0.57,    0.67,   1.77
1989-05,    3.35,   -0.01,   -0.88,    0.49,   -0.08,    0.79,   1.52
1989-06,   -1.35,   -1.09,    2.25,    0.27,    1.56,    0.71,   0.43
1989-07,    7.20,   -4.15,   -2.79,    1.98,   -0.58,    0.70,   5.41
1989-08,    1.44,    0.48,    0.60,    0.39,   -0.58,    0.74,  -0.12
1989-09,   -0.76,    0.49,   -1.27,    1.40,    0.50,    0.65,   3.40
1989-10,   -3.67,   -3.30,   -1.11,    0.11,   -0.04,    0.68,   1.32
1989-11,    1.03,   -1.29,   -1.09,   -0.86,    1.41,    0.69,   2.60
1989-12,    1.16,   -2.27,    0.16,   -0.07,    1.42,    0.61,   2.80
1990-01,   -7.85,   -1.31,    0.85,   -1.17,    1.35,    0.57,  -3.27
1990-02,    1.11,    1.17,    0.64,   -0.03,   -0.66,    0.57,  -0.55
1990-03,    1.83,    1.62,   -2.92,    2.04,   -1.02,    0.64,   1.80
1990-04,   -3.36,   -0.33,   -2.59,    1.78,   -0.98,    0.69,   2.39
1990-05,    8.42,   -2.35,   -3.83,    1.57,   -1.68,    0.68,   3.03
1990-06,   -1.09,    1.35,   -1.93,   -1.03,   -0.39,    0.63,   2.40
1990-07,   -1.90,   -3.16,   -0.03,   -0.18,    3.21,    0.68,   6.10
1990-08,  -10.15,   -3.87,    1.64,   -0.35,    2.96,    0.66,   1.88
1990-09,   -6.12,   -3.74,    0.64,    0.06,    3.67,    0.60,   5.78
1990-10,   -1.92,   -5.12,    0.10,    2.97,   -0.30,    0.68,   6.71
1990-11,    6.35,    0.07,   -3.10,    0.65,   -4.74,    0.57,  -5.48
